Offense,School,2020 Total,2021 Total,2022 Total
Rape,BYU,4,7,6
Fondling,BYU,10,13,17
Incest,BYU,0,0,0
Statutory Rape,BYU,0,0,0
Domestic Violence,BYU,0,2,1
Dating Violence,BYU,5,5,17
Stalking,BYU,14,6,16
Rape,BU,13,20,22
Fondling,BU,13,10,8
Incest,BU,0,0,0
Statutory Rape,BU,0,0,0
Domestic Violence,BU,7,8,13
Dating Violence,BU,4,5,0
Stalking,BU,17,23,40
Rape,CU,20,34,52
Fondling,CU,7,20,19
Incest,CU,0,0,0
Statutory Rape,CU,0,0,0
Domestic Violence,CU,8,8,12
Dating Violence,CU,8,13,13
Stalking,CU,23,15,16
Rape,ISU,10,22,18
Fondling,ISU,4,7,6
Incest,ISU,0,0,0
Statutory Rape,ISU,0,0,0
Domestic Violence,ISU,5,2,6
Dating Violence,ISU,8,5,6
Stalking,ISU,22,32,21
Rape,KSU,5,14,26
Fondling,KSU,1,18,6
Incest,KSU,0,0,0
Statutory Rape,KSU,0,0,0
Domestic Violence,KSU,5,3,7
Dating Violence,KSU,0,12,5
Stalking,KSU,6,18,8
Rape,KU,0,0,0
Fondling,KU,0,0,1
Incest,KU,0,0,0
Statutory Rape,KU,0,0,0
Domestic Violence,KU,0,0,0
Dating Violence,KU,0,0,0
Stalking,KU,0,0,1
Rape,OSU,4,15,12
Fondling,OSU,6,4,0
Incest,OSU,0,0,0
Statutory Rape,OSU,0,0,0
Domestic Violence,OSU,8,6,3
Dating Violence,OSU,4,2,7
Stalking,OSU,9,12,16
Rape,OU,33,19,20
Fondling,OU,13,11,16
Incest,OU,0,0,0
Statutory Rape,OU,0,0,1
Domestic Violence,OU,15,21,16
Dating Violence,OU,4,7,10
Stalking,OU,9,8,19
Rape,TCU,17,22,12
Fondling,TCU,4,8,4
Incest,TCU,0,0,0
Statutory Rape,TCU,0,0,0
Domestic Violence,TCU,0,15,1
Dating Violence,TCU,7,17,5
Stalking,TCU,4,4,5
Rape,TTU,7,26,23
Fondling,TTU,7,19,8
Incest,TTU,0,0,0
Statutory Rape,TTU,0,0,0
Domestic Violence,TTU,1,18,21
Dating Violence,TTU,19,22,14
Stalking,TTU,21,65,44
Rape,UCF,8,16,14
Fondling,UCF,7,8,8
Incest,UCF,0,0,0
Statutory Rape,UCF,0,0,1
Domestic Violence,UCF,3,0,2
Dating Violence,UCF,15,14,13
Stalking,UCF,25,24,34
Rape,UH,5,12,13
Fondling,UH,4,5,1
Incest,UH,0,0,0
Statutory Rape,UH,1,0,0
Domestic Violence,UH,8,12,10
Dating Violence,UH,14,14,18
Stalking,UH,34,29,18
Rape,UTA,24,21,28
Fondling,UTA,12,18,18
Incest,UTA,0,0,0
Statutory Rape,UTA,0,0,0
Domestic Violence,UTA,10,4,17
Dating Violence,UTA,7,9,7
Stalking,UTA,18,19,31
Rape,WV,9,17,21
Fondling,WV,4,12,17
Incest,WV,0,0,0
Statutory Rape,WV,0,0,0
Domestic Violence,WV,6,18,21
Dating Violence,WV,0,0,0
Stalking,WV,14,14,22
